date,EUR2M Curncy,EUR Curncy,EURUSDH2M BGN Curncy,EURUSDV2M BGN Curncy
5/27/2016,22.17,1.1115,7.2722,8.585
5/30/2016,23.06,1.1138,7.1811,8.99
5/31/2016,23.19,1.1132,7.2214,9.22
6/1/2016,23.77,1.1188,7.1419,9.365
6/2/2016,25.14,1.1151,7.1495,9.095
6/3/2016,24.1,1.1367,7.7111,8.69
6/6/2016,24.06,1.1355,7.6823,9.0875
6/7/2016,23.96,1.1358,7.4692,9.06
6/8/2016,24.06,1.1395,7.387,9.095
6/9/2016,24.4,1.1316,7.3062,9.81
6/10/2016,24.12,1.1251,7.2739,11.03
6/13/2016,24.52,1.1292,7.2609,11.3375
6/14/2016,25.26,1.1207,7.24,12.19
6/15/2016,25.17,1.126,7.3029,10.6275
6/16/2016,26.91,1.1225,7.4772,11.045
6/17/2016,25.89,1.1277,7.5701,10.83
6/20/2016,25.27,1.1314,7.6765,10.005
6/21/2016,25.67,1.1242,7.5432,10.09
6/22/2016,26.41,1.1296,7.5786,10.1725
6/23/2016,26.28,1.1385,7.732,9.7575
6/24/2016,28.68,1.1117,9.2119,11.905
6/27/2016,25.26,1.1025,9.485,11.73
6/28/2016,25.54,1.1065,9.4973,10.2175
6/29/2016,24.49,1.1125,9.5683,9.31
6/30/2016,24.48,1.1106,9.655,9.6525
7/1/2016,24.42,1.1136,9.6631,9.2325
7/4/2016,24.18,1.1154,9.6233,9.1375
7/5/2016,24.43,1.1076,9.6443,9.41
7/6/2016,26.21,1.11,9.6581,9.425
7/7/2016,25.96,1.1063,9.6373,9.39
7/8/2016,25.36,1.1051,9.7669,9.0225
7/11/2016,25.34,1.1058,9.7731,8.9125
7/12/2016,25.2,1.1061,9.8215,8.4525
7/13/2016,25.38,1.109,9.795,8.41
7/14/2016,26.1,1.112,9.8819,8.145
7/15/2016,26.37,1.1035,9.9476,8.27
7/18/2016,27.03,1.1075,9.8421,8.265
7/19/2016,26.44,1.1021,9.8414,8.45
7/20/2016,26.31,1.1015,9.8629,8.4825
7/21/2016,27.54,1.1026,9.8961,8.5875
7/22/2016,26.95,1.0977,9.9147,8.52
7/25/2016,27.24,1.0995,9.9019,8.615
7/26/2016,27.9,1.0986,9.8624,8.205
7/27/2016,28.35,1.1058,9.874,7.865
7/28/2016,30.64,1.1077,9.9049,7.755
7/29/2016,29.35,1.1174,9.9235,7.79
8/1/2016,29.03,1.1163,9.9138,7.5075
8/2/2016,29.54,1.1224,9.8899,7.5975
8/3/2016,29.98,1.1149,9.4385,7.4175
8/4/2016,30.65,1.113,9.4169,7.7175
8/5/2016,30.24,1.1086,9.5468,7.665
8/8/2016,30.13,1.1088,9.5483,7.6
8/9/2016,29.5,1.1117,9.5179,7.495
8/10/2016,29.48,1.1176,9.5381,7.335
8/11/2016,30.01,1.1137,9.5207,7.225
8/12/2016,29.5,1.1162,9.5458,7.0975
8/15/2016,28.78,1.1184,9.4644,7.1125
8/16/2016,28.9,1.1279,9.3793,7.4925
8/17/2016,28.95,1.1289,9.3437,7.42
8/18/2016,29.85,1.1354,9.2641,7.59
8/19/2016,29.13,1.1325,9.2003,7.59
8/22/2016,28.69,1.132,9.1548,7.655
8/23/2016,29.41,1.1305,9.0385,7.6575
8/24/2016,29.47,1.1264,7.4707,7.8375
8/25/2016,30.42,1.1285,7.0788,7.72
8/26/2016,29.7,1.1198,7.0715,7.71
8/29/2016,29.81,1.1189,6.9377,8.0125
8/30/2016,29.38,1.1143,6.7311,8.08
8/31/2016,29.3,1.1158,6.6649,8.025
9/1/2016,29.61,1.1197,6.7448,7.985
9/2/2016,29.39,1.1156,6.7118,7.6525
9/5/2016,29.09,1.1147,6.663,7.69
9/6/2016,28.75,1.1255,6.7843,7.6875
9/7/2016,28.07,1.1239,6.5743,7.365
9/8/2016,28.49,1.126,6.6077,7.8225
9/9/2016,28.25,1.1233,6.5586,8.02
9/12/2016,27.86,1.1235,6.544,8.185
9/13/2016,27.89,1.122,6.4347,8.01
9/14/2016,28.08,1.125,6.3447,8.045
9/15/2016,29.1,1.1244,6.3588,7.865
9/16/2016,29.31,1.1155,6.379,7.9125
9/19/2016,28.88,1.1175,6.3134,8.035
9/20/2016,29.1,1.1151,6.2386,7.96
9/21/2016,28.75,1.1189,6.2183,7.88
9/22/2016,29.95,1.1208,6.2587,7.395
9/23/2016,29.34,1.1226,6.2715,7.3175
9/26/2016,29.88,1.1254,6.2465,7.53
9/27/2016,30.83,1.1215,6.2183,7.455
9/28/2016,30.34,1.1217,6.1633,7.45
9/29/2016,28.97,1.1222,6.1976,7.4875
9/30/2016,30.82,1.1235,6.3364,7.645
10/3/2016,31.26,1.1211,6.3033,7.4275
10/4/2016,28.59,1.1204,6.4924,7.8175
10/5/2016,27.59,1.1205,6.309,8.0375
10/6/2016,27.42,1.1151,6.3114,8.5075
